data,indice_vendas_efetivadas,indice_vendas_com_pendente
2027-04-23,71.3,71.3
2027-04-24,118.1,118.1
2027-04-27,72.3,72.3
2027-04-28,216.4,216.4
2027-04-29,90.6,90.6
2027-04-30,71.9,71.9
2027-05-01,3.2,3.2
2027-05-04,121.9,121.9
2027-05-05,117.6,117.6
2027-05-06,169.8,169.8
2027-05-07,105.1,105.1
2027-05-08,90.7,90.7
2027-05-11,125.3,125.3
2027-05-12,187.8,187.8
2027-05-13,74.5,74.5
2027-05-14,60.0,60.0
2027-05-15,34.0,34.0
2027-05-18,165.0,165.0
2027-05-19,178.2,178.2
2027-05-20,101.4,101.4
2027-05-21,88.1,88.1
2027-05-22,46.8,46.8
2027-05-25,103.8,103.8
2027-05-26,152.9,152.9
2027-05-27,133.8,133.8
2027-05-28,107.8,107.8
2027-05-29,66.4,66.4
2027-06-01,97.4,97.4
2027-06-02,177.6,177.6
2027-06-03,58.2,58.2
2027-06-04,2.1,2.1
2027-06-05,16.4,16.4
2027-06-08,196.6,196.6
2027-06-09,169.2,169.2
2027-06-10,74.8,74.8
2027-06-11,59.2,59.2
2027-06-12,43.3,43.3
2027-06-15,101.2,101.2
2027-06-16,139.4,139.4
2027-06-17,109.3,109.3
2027-06-18,117.1,117.1
2027-06-19,20.4,20.4
2027-06-22,132.4,132.4
2027-06-23,215.2,215.2
2027-06-24,59.9,59.9
2027-06-25,101.8,101.8
2027-06-26,70.9,70.9
2027-06-29,39.5,39.5
2027-06-30,201.3,201.3
2027-07-01,165.4,165.4
2027-07-02,74.7,74.7
2027-07-03,47.2,47.2
2027-07-06,56.4,56.4
2027-07-07,79.8,79.8
2027-07-08,109.4,109.4
2027-07-09,4.6,4.6
2027-07-10,31.6,31.6
2027-07-13,94.8,94.8
2027-07-14,104.7,104.7
2027-07-15,70.1,70.1
2027-07-16,90.4,90.4
2027-07-17,55.6,55.6
2027-07-20,115.9,115.9
2027-07-21,187.3,187.3
2027-07-22,140.8,140.8
2027-07-23,45.2,45.2
2027-07-24,41.6,41.6
2027-07-27,100.8,100.8
2027-07-28,179.6,179.6
2027-07-29,71.1,71.1
2027-07-30,50.4,50.4
2027-07-31,45.3,45.3
2027-08-03,105.9,105.9
2027-08-04,220.7,220.7
2027-08-05,107.9,107.9
2027-08-06,54.6,54.6
2027-08-07,85.7,85.7
2027-08-10,95.6,95.6
2027-08-11,118.5,118.5
2027-08-12,106.8,106.8
2027-08-13,104.1,104.1
2027-08-14,38.2,38.2
2027-08-17,117.5,117.5
2027-08-18,282.2,282.2
2027-08-19,94.7,94.7
2027-08-20,104.7,104.7
2027-08-21,33.0,33.0
2027-08-24,106.6,106.6
2027-08-25,237.9,237.9
2027-08-26,39.2,39.2
2027-08-27,123.3,123.3
2027-08-28,45.9,45.9
2027-08-31,101.4,101.4
2027-09-01,156.4,156.4
2027-09-02,175.1,175.1
2027-09-03,72.8,72.8
2027-09-04,68.5,68.5
2027-09-07,6.3,6.3
2027-09-08,259.7,259.7
2027-09-09,69.6,69.6
2027-09-10,52.4,52.4
2027-09-11,44.7,44.7
2027-09-14,71.8,71.8
2027-09-15,153.0,153.0
2027-09-16,22.7,22.7
