cenario,data_dt,faturamento,faturamento_medio_normal,diferenca,diferenca_percentual
Efetivado,2026-11-20,14,1676.6666666666667,-1662.6666666666667,-99.16500994035785
Efetivado + Pendente,2026-11-20,14,1676.6666666666667,-1662.6666666666667,-99.16500994035785
