cenario,data_dt,indice_feriado,indice_medio_normal,diferenca_indice
Efetivado,2026-11-20,0.7,83.10555555555555,-82.40555555555555
Efetivado + Pendente,2026-11-20,0.7,83.10555555555555,-82.40555555555555
